Adj Close,Close,High,Low,Open,Volume
536.02001953125,536.02001953125,539.22998046875,534.4400024414062,535.5999755859375,5804400
535.77001953125,535.77001953125,544.6900024414062,534.8200073242188,540.9099731445312,6339500
544.8800048828125,544.8800048828125,546.0599975585938,541.989990234375,545.219970703125,7158200
546.8200073242188,546.8200073242188,547.4500122070312,540.5800170898438,540.6300048828125,7766100
546.260009765625,546.260009765625,546.469970703125,541.7000122070312,543.469970703125,7255300
542.760009765625,542.760009765625,543.25,537.8400268554688,538.260009765625,7362200
540.1099853515625,540.1099853515625,541.4199829101562,538.239990234375,540.3699951171875,5031300
539.4400024414062,539.4400024414062,541.47998046875,535.780029296875,536.3300170898438,7356800
535.9199829101562,535.9199829101562,535.9199829101562,530.3900146484375,534.5,7793600
518.6500244140625,518.6500244140625,521.6300048828125,517.3599853515625,520.6900024414062,4739500
519.3400268554688,519.3400268554688,524.22998046875,516.3499755859375,519.5399780273438,5088200
515.9000244140625,515.9000244140625,518.1799926757812,511.1000061035156,514.9199829101562,5460000
513.5800170898438,513.5800170898438,517.8300170898438,511.94000244140625,512.8900146484375,4694300
517.989990234375,517.989990234375,520.8499755859375,516.27001953125,517.0800170898438,4793500
520.7100219726562,520.7100219726562,522.4099731445312,516.8900146484375,519.1199951171875,6285400
513.3499755859375,513.3499755859375,518.4400024414062,512.77001953125,515.1300048828125,5784500
509.739990234375,509.739990234375,511.5,497.760009765625,503.260009765625,7873700
509.489990234375,509.489990234375,510.54998779296875,504.260009765625,504.5400085449219,6525500
506.4200134277344,506.4200134277344,508.739990234375,500.9599914550781,506.80999755859375,4210000
506.1099853515625,506.1099853515625,506.5199890136719,499.75,502.44000244140625,6933400
502.4100036621094,502.4100036621094,503.0,492.2200012207031,493.260009765625,6184300
492.07000732421875,492.07000732421875,501.17999267578125,490.70001220703125,496.69000244140625,8047600
484.2900085449219,484.2900085449219,486.4800109863281,477.19000244140625,478.07000732421875,6236300
472.3699951171875,472.3699951171875,479.489990234375,467.3299865722656,479.0199890136719,7762500
483.8999938964844,483.8999938964844,488.1600036621094,481.5,484.7900085449219,5638900
483.2300109863281,483.2300109863281,491.7699890136719,478.2300109863281,488.6499938964844,6374900
494.0899963378906,494.0899963378906,499.2699890136719,493.4200134277344,496.0299987792969,8200600
495.4800109863281,495.4800109863281,500.260009765625,490.69000244140625,500.04998779296875,7701500
490.54998779296875,490.54998779296875,493.0,478.0,480.69000244140625,11541200
482.05999755859375,482.05999755859375,490.29998779296875,468.3299865722656,489.1499938964844,16651300
499.1000061035156,499.1000061035156,502.05999755859375,453.1600036621094,453.489990234375,29286600
456.739990234375,456.739990234375,482.489990234375,449.6000061035156,479.67999267578125,19002700
463.55999755859375,463.55999755859375,480.760009765625,442.79998779296875,449.5400085449219,31285300
465.5199890136719,465.5199890136719,483.29998779296875,464.239990234375,481.2799987792969,30966500
494.1600036621094,494.1600036621094,503.6600036621094,493.5,501.0,16226000
518.9099731445312,518.9099731445312,521.489990234375,509.92999267578125,510.1400146484375,6308600
515.7999877929688,515.7999877929688,517.3499755859375,508.8800048828125,512.3599853515625,7697000
513.9099731445312,513.9099731445312,515.3300170898438,502.6400146484375,505.30999755859375,8196700
510.79998779296875,510.79998779296875,520.4600219726562,510.1600036621094,519.760009765625,5831800
521.2100219726562,521.2100219726562,524.6799926757812,519.22998046875,521.2899780273438,5534900
522.6480102539062,524.4600219726562,531.4099731445312,523.0999755859375,530.5599975585938,4410200
528.816650390625,530.6500244140625,531.5999755859375,529.1099853515625,530.5900268554688,6260200
527.5609741210938,529.3900146484375,530.3900146484375,525.8800048828125,526.47998046875,22376300
518.4625244140625,520.260009765625,520.9500122070312,514.6599731445312,515.7899780273438,5059000
518.3329467773438,520.1300048828125,524.6199951171875,517.3200073242188,517.9600219726562,6029700
519.52880859375,521.3300170898438,524.9600219726562,516.4199829101562,517.5399780273438,5373900
514.1275024414062,515.9099731445312,519.52001953125,514.0700073242188,519.3200073242188,6010600
519.6085205078125,521.4099731445312,523.8400268554688,517.0800170898438,517.4500122070312,6269800
515.6721801757812,517.4600219726562,518.4199829101562,510.8399963378906,511.2799987792969,7412300
505.2981262207031,507.04998779296875,514.0599975585938,505.4200134277344,513.510009765625,21650000
511.9849853515625,513.760009765625,517.739990234375,509.1000061035156,516.8900146484375,8590600
509.5135498046875,511.2799987792969,517.530029296875,507.5299987792969,514.3300170898438,11208900
513.7289428710938,515.510009765625,523.7000122070312,510.8299865722656,521.9000244140625,11176900
527.6805419921875,529.510009765625,530.8800048828125,520.1300048828125,524.9000244140625,7308300
524.850341796875,526.6699829101562,533.4299926757812,524.219970703125,529.1900024414062,7228900
534.5467529296875,536.4000244140625,537.7899780273438,526.9299926757812,530.25,6221700
528.6173095703125,530.4500122070312,538.280029296875,526.1599731445312,533.0599975585938,10477400
535.06494140625,536.9199829101562,549.2899780273438,533.25,548.2000122070312,7290000
544.4424438476562,546.3300170898438,546.8900146484375,535.5800170898438,538.4199829101562,7328100
536.1112670898438,537.969970703125,549.8800048828125,537.5999755859375,548.8300170898438,5521400
544.8609619140625,546.75,551.3499755859375,544.25,548.010009765625,4180800
544.5221557617188,546.4099731445312,549.77001953125,542.1699829101562,549.1799926757812,5491500
547.2427368164062,549.1400146484375,554.510009765625,548.510009765625,553.6099853515625,4772300
549.8436889648438,551.75,561.2000122070312,551.27001953125,561.0999755859375,6148700
559.3607177734375,561.2999877929688,562.47998046875,558.219970703125,562.3900146484375,4446800
561.7225341796875,563.6699829101562,563.9199829101562,560.530029296875,561.02001953125,3857600
