Adj Close,Close,High,Low,Open,Volume
3339.0,3339.0,3346.800048828125,3316.300048828125,3318.0,40233
3309.300048828125,3309.300048828125,3317.5,3290.199951171875,3293.39990234375,356
3280.300048828125,3280.300048828125,3293.199951171875,3207.5,3219.0,356
3228.89990234375,3228.89990234375,3241.0,3228.300048828125,3234.39990234375,266
3182.0,3182.0,3228.10009765625,3173.89990234375,3227.699951171875,199
3220.699951171875,3220.699951171875,3228.10009765625,3125.0,3151.0,652
3181.39990234375,3181.39990234375,3233.0,3171.699951171875,3233.0,3518
3240.300048828125,3240.300048828125,3251.39990234375,3223.5,3232.0,2424
3220.0,3220.0,3300.699951171875,3205.0,3300.699951171875,886
3335.39990234375,3335.39990234375,3335.5,3299.0,3299.0,216
3296.60009765625,3296.60009765625,3390.0,3288.699951171875,3390.0,200
3381.39990234375,3381.39990234375,3418.699951171875,3364.699951171875,3418.699951171875,1080
3411.39990234375,3411.39990234375,3430.89990234375,3356.800048828125,3365.5,2357
3311.300048828125,3311.300048828125,3315.699951171875,3239.699951171875,3242.699951171875,244
3231.89990234375,3231.89990234375,3257.0,3225.0,3239.89990234375,1349
3210.0,3210.0,3275.0,3198.60009765625,3272.89990234375,2131
3305.0,3305.0,3318.699951171875,3268.0,3318.699951171875,207
3318.800048828125,3318.800048828125,3340.0,3299.89990234375,3340.0,1278
3332.5,3332.5,3332.5,3284.5,3284.5,1300
3282.39990234375,3282.39990234375,3355.5,3266.10009765625,3355.5,162
3332.0,3332.0,3353.89990234375,3304.89990234375,3305.39990234375,560
3276.300048828125,3276.300048828125,3370.300048828125,3256.199951171875,3321.199951171875,331
3400.800048828125,3400.800048828125,3485.60009765625,3361.699951171875,3422.199951171875,785
3406.199951171875,3406.199951171875,3418.5,3342.199951171875,3342.199951171875,78
3308.699951171875,3308.699951171875,3345.0,3287.800048828125,3345.0,824
3326.60009765625,3326.60009765625,3334.89990234375,3238.300048828125,3238.300048828125,1874
3218.699951171875,3218.699951171875,3218.699951171875,3214.0,3216.0,390
3204.800048828125,3204.800048828125,3228.800048828125,3194.5,3215.5,263
3222.199951171875,3222.199951171875,3235.0,3182.10009765625,3182.10009765625,862
3155.199951171875,3155.199951171875,3167.0,3072.10009765625,3073.89990234375,3456
3056.5,3056.5,3090.39990234375,2965.800048828125,2965.800048828125,2175
2968.39990234375,2968.39990234375,3014.5,2968.39990234375,2994.0,3213
2951.300048828125,2951.300048828125,3050.800048828125,2949.699951171875,3016.39990234375,4424
3012.0,3012.0,3127.699951171875,3011.0,3110.5,3247
3097.0,3097.0,3166.89990234375,3052.0,3150.0,5516
3139.89990234375,3139.89990234375,3168.60009765625,3117.39990234375,3120.699951171875,5946
3118.89990234375,3118.89990234375,3149.5,3104.0,3129.699951171875,1721
3122.800048828125,3122.800048828125,3132.5,3086.0,3091.0,3438
3086.5,3086.5,3094.89990234375,3066.800048828125,3069.699951171875,31206
3060.199951171875,3060.199951171875,3065.0,3025.5,3025.5,124359
3020.89990234375,3020.89990234375,3033.199951171875,3019.5,3033.199951171875,83
3023.699951171875,3023.699951171875,3028.800048828125,3023.699951171875,3026.39990234375,74
3013.10009765625,3013.10009765625,3024.300048828125,3006.0,3024.300048828125,137
3018.199951171875,3018.199951171875,3037.5,3000.89990234375,3034.5,151
3040.0,3040.0,3047.300048828125,3034.39990234375,3047.300048828125,185
3035.89990234375,3035.89990234375,3050.89990234375,3030.89990234375,3035.199951171875,175
3035.10009765625,3035.10009765625,3039.199951171875,3004.39990234375,3006.39990234375,428
3000.0,3000.0,3001.5,2989.0,2991.0,214
2994.5,2994.5,3004.800048828125,2986.0,2994.39990234375,1800
2984.300048828125,2984.300048828125,2988.0,2935.199951171875,2937.10009765625,2366
2939.10009765625,2939.10009765625,2939.10009765625,2910.0,2912.0,213
2912.89990234375,2912.89990234375,2916.699951171875,2880.39990234375,2884.39990234375,197
2891.0,2891.0,2915.10009765625,2880.199951171875,2910.10009765625,55
2904.699951171875,2904.699951171875,2927.300048828125,2900.5,2900.89990234375,531
2916.60009765625,2916.60009765625,2918.60009765625,2903.800048828125,2904.0,870
2915.300048828125,2915.300048828125,2922.0,2893.0,2916.699951171875,551
2909.60009765625,2909.60009765625,2927.89990234375,2886.10009765625,2886.10009765625,885
2890.199951171875,2890.199951171875,2891.800048828125,2863.39990234375,2872.699951171875,423
2836.800048828125,2836.800048828125,2877.10009765625,2834.10009765625,2877.10009765625,990
2883.199951171875,2883.199951171875,2922.800048828125,2870.39990234375,2918.5,3215
2916.800048828125,2916.800048828125,2917.0,2913.0,2913.5,2050
2904.5,2904.5,2943.199951171875,2890.0,2938.699951171875,1854
2947.89990234375,2947.89990234375,2957.89990234375,2933.10009765625,2933.10009765625,415
2937.60009765625,2937.60009765625,2940.0,2917.300048828125,2938.800048828125,570
2940.0,2940.0,2955.800048828125,2924.199951171875,2949.10009765625,656
2919.39990234375,2919.39990234375,2946.0,2917.10009765625,2938.699951171875,2630
2931.60009765625,2931.60009765625,2936.39990234375,2873.800048828125,2879.199951171875,4010
2883.60009765625,2883.60009765625,2944.39990234375,2874.800048828125,2937.300048828125,1992
2925.89990234375,2925.89990234375,2937.699951171875,2910.60009765625,2911.300048828125,4670
2909.0,2909.0,2912.300048828125,2868.60009765625,2902.0,2504
2912.5,2912.5,2945.39990234375,2890.0,2925.5,2554
2914.300048828125,2914.300048828125,2916.10009765625,2863.800048828125,2864.199951171875,2237
2867.300048828125,2867.300048828125,2889.5,2857.800048828125,2859.89990234375,1822
